node_id,cluster_id,battery_level,signal_strength,temperature,humidity,data_redundancy_flag,is_fault_predicted,actual_fault_occurred,fault_type,data_packet_size,latency_ms,energy_consumed_mJ,optimized_path_flag,load_on_node,recovery_time_ms,pdr,transmission_success
48,3,78.49,-62.11,48.52,43.93,0,1,0,none,259,68.65,1.565,1,0.25,0.0,0.954,1
1,2,16.72,-40.33,49.61,67.32,0,0,0,none,70,38.38,1.661,0,0.84,0.0,0.851,0
34,2,99.74,-70.17,28.06,31.45,1,0,0,none,193,236.39,0.537,0,0.88,0.0,0.993,0
29,5,91.86,-39.98,48.58,73.21,0,0,0,none,485,84.39,0.505,0,0.69,0.0,0.874,1
16,3,97.14,-87.01,44.74,74.36,1,1,0,none,450,243.1,0.659,1,0.97,0.0,0.837,0
30,1,64.66,-82.67,32.34,35.79,0,0,0,none,449,243.32,0.69,0,0.11,0.0,0.814,1
46,3,72.55,-39.79,41.19,22.77,0,0,0,none,440,179.85,0.135,0,0.29,0.0,0.869,1
50,4,16.52,-62.6,45.3,25.78,1,0,0,none,229,178.91,1.41,1,0.28,0.0,0.833,0
11,5,73.58,-97.79,47.45,23.64,0,0,1,sensor_fail,411,244.48,0.745,1,0.17,452.67,0.91,1
26,3,13.67,-88.52,27.54,70.74,0,0,0,none,306,81.38,1.954,0,0.26,0.0,0.958,0
44,2,11.88,-54.27,23.29,57.97,0,0,0,none,508,40.22,0.158,0,0.52,0.0,0.974,0
24,4,66.59,-48.53,40.71,55.34,0,0,0,none,313,223.07,1.025,1,0.91,0.0,0.884,1
12,3,66.07,-55.79,39.32,29.21,1,1,0,none,491,124.4,1.074,0,0.16,0.0,0.887,0
47,1,69.64,-93.33,36.08,41.85,0,1,0,none,487,187.64,0.854,0,0.31,0.0,0.977,0
16,2,50.39,-53.14,15.83,51.46,0,1,0,none,437,66.93,0.17,1,0.7,0.0,0.895,1
44,4,87.78,-60.93,31.6,22.39,1,0,0,none,345,31.02,0.332,0,0.94,0.0,0.863,1
14,4,23.35,-30.94,48.6,20.35,1,0,1,link_loss,247,164.37,1.029,1,0.23,63.49,0.862,0
42,4,70.61,-32.11,13.76,67.08,0,1,0,none,353,205.26,1.959,0,0.12,0.0,0.849,1
47,1,12.73,-34.83,37.58,67.36,0,0,0,none,132,181.61,0.762,0,0.64,0.0,0.864,1
25,5,80.41,-60.31,39.54,81.5,0,0,0,none,145,265.81,0.703,1,0.44,0.0,0.859,1
21,1,42.98,-72.27,37.82,47.2,0,0,0,none,491,24.11,1.215,0,0.68,0.0,0.952,1
21,2,95.63,-40.7,46.57,76.96,0,0,0,none,363,153.47,0.849,1,0.77,0.0,0.943,1
21,3,10.68,-54.68,45.92,37.04,1,0,1,sensor_fail,338,48.4,1.023,0,0.36,188.28,0.961,0
16,2,64.93,-49.87,20.9,48.95,0,0,0,none,137,243.94,0.451,0,0.81,0.0,0.837,1
20,4,17.83,-42.9,24.94,56.85,0,0,0,none,340,267.58,0.533,0,0.65,0.0,0.882,1
8,1,31.32,-45.36,20.99,77.58,0,0,0,none,227,61.92,0.905,0,0.31,0.0,0.974,1
21,1,26.06,-78.14,19.21,34.43,0,0,0,none,504,159.09,1.977,0,0.73,0.0,0.881,1
39,1,72.32,-30.61,15.14,27.29,1,0,0,none,99,43.98,1.799,0,0.39,0.0,0.845,1
4,5,56.72,-95.27,42.01,36.36,0,1,0,none,363,110.81,0.733,1,0.99,0.0,0.932,0
34,4,15.41,-60.64,48.31,32.27,0,0,0,none,509,138.35,1.661,0,0.37,0.0,0.996,0
30,5,20.78,-31.81,10.8,71.6,1,0,0,none,147,194.6,0.269,1,0.21,0.0,0.965,1
34,5,13.25,-78.78,20.52,45.21,0,1,0,none,394,251.08,0.631,1,0.89,0.0,0.832,0
15,4,86.63,-85.4,47.22,28.15,1,0,1,sensor_fail,197,59.56,0.503,1,0.39,60.3,0.831,0
14,4,61.57,-34.71,33.01,53.55,0,0,0,none,399,234.15,0.432,1,0.46,0.0,0.829,1
8,5,12.32,-90.54,48.52,58.47,1,0,0,none,397,265.31,0.628,1,0.1,0.0,0.804,0
23,3,44.78,-60.49,17.67,34.82,0,0,0,none,146,67.79,0.242,1,0.34,0.0,0.836,1
33,4,66.99,-83.98,19.31,35.46,0,0,0,none,241,56.6,1.785,0,0.28,0.0,0.874,1
14,5,44.84,-32.53,19.94,29.37,0,0,0,none,377,73.11,1.276,0,0.85,0.0,0.926,0
37,5,13.84,-74.0,20.63,65.23,0,0,0,none,259,262.1,0.563,1,0.83,0.0,0.923,1
42,5,96.06,-90.68,14.09,66.11,1,1,0,none,160,255.44,0.173,1,0.52,0.0,0.927,0
22,1,65.25,-95.33,30.74,30.51,1,0,0,none,396,30.65,1.518,1,0.82,0.0,0.821,0
20,5,44.88,-67.66,49.66,87.95,1,0,0,none,505,47.55,1.355,1,0.34,0.0,0.804,0
28,1,36.59,-46.15,34.99,46.74,0,0,0,none,141,39.39,1.924,0,0.91,0.0,0.864,0
27,2,64.17,-59.23,39.92,76.82,0,0,0,none,487,187.59,0.281,0,0.6,0.0,0.878,0
30,4,20.94,-86.18,45.48,65.21,0,1,1,battery_low,331,277.3,0.579,1,0.51,428.9,0.946,0
44,3,38.81,-47.28,20.77,57.77,1,0,0,none,499,248.98,0.506,1,0.86,0.0,0.947,1
33,3,36.78,-60.45,37.56,81.13,0,0,0,none,425,176.25,1.642,1,0.89,0.0,0.856,0
42,2,28.36,-61.14,39.32,63.12,0,0,0,none,483,21.46,1.546,0,0.77,0.0,0.84,1
20,3,78.06,-41.06,28.81,55.14,0,0,0,none,457,268.13,1.227,0,0.47,0.0,0.939,0
38,4,26.32,-72.86,26.09,81.2,0,0,0,none,249,177.22,1.165,1,0.71,0.0,0.961,1
19,1,67.28,-89.57,37.82,72.21,1,0,0,none,82,143.26,0.38,0,0.49,0.0,0.818,0
28,3,78.99,-48.65,21.98,32.14,0,0,0,none,462,134.77,1.696,0,0.61,0.0,0.918,0
10,2,24.88,-50.98,33.43,61.05,0,1,0,none,466,92.6,0.916,1,0.86,0.0,0.837,1
10,5,73.54,-55.82,11.99,83.27,1,0,0,none,360,64.49,1.259,0,0.78,0.0,0.931,1
30,4,14.01,-97.46,21.03,39.29,1,1,0,none,169,256.54,0.609,0,0.87,0.0,0.809,0
43,1,41.13,-77.94,40.87,26.05,0,0,0,none,206,267.0,0.848,1,0.81,0.0,0.925,1
21,2,23.05,-49.24,17.65,43.68,0,1,1,battery_low,488,26.17,1.468,0,0.18,357.69,0.909,1
34,4,75.05,-95.26,38.31,58.05,0,0,0,none,404,59.47,1.362,0,0.19,0.0,0.972,0
39,4,15.6,-64.12,42.26,52.15,0,0,0,none,454,264.2,1.135,1,0.78,0.0,0.804,0
15,4,88.35,-83.28,28.05,88.95,1,0,0,none,317,116.23,0.637,0,0.82,0.0,0.874,1
50,3,79.81,-32.49,18.15,56.63,0,0,0,none,148,107.46,1.321,0,0.91,0.0,0.904,1
6,4,24.94,-57.06,24.52,82.8,0,0,0,none,71,270.32,1.343,0,0.5,0.0,0.923,0
32,1,82.32,-64.64,48.69,49.24,1,0,0,none,323,299.18,1.962,1,0.22,0.0,0.937,0
4,1,84.07,-85.32,25.16,88.14,0,0,1,sensor_fail,274,232.68,1.977,1,0.69,191.33,0.851,1
12,4,57.29,-82.9,14.52,26.1,1,0,1,link_loss,494,73.55,1.266,0,0.62,382.13,0.961,1
27,3,12.8,-48.25,14.25,42.04,0,0,0,none,211,83.61,1.69,0,0.68,0.0,0.939,0
38,5,12.99,-78.72,36.13,85.68,1,0,0,none,396,271.68,1.336,1,0.1,0.0,0.834,0
46,4,44.35,-90.98,26.51,76.16,0,0,0,none,333,277.06,0.632,1,0.36,0.0,0.982,0
9,4,11.62,-32.6,39.07,41.33,1,0,1,sensor_fail,183,217.03,1.127,0,0.32,55.58,0.894,0
11,5,36.75,-79.01,39.73,23.37,1,1,0,none,173,115.31,1.979,1,0.58,0.0,0.968,1
12,3,34.1,-44.76,32.93,66.12,0,0,0,none,264,274.7,1.371,1,0.89,0.0,0.914,1
47,4,91.96,-67.49,15.5,43.86,0,0,1,sensor_fail,339,240.86,1.315,1,0.22,155.38,0.957,1
44,2,34.44,-66.9,49.35,38.83,0,1,0,none,124,152.3,0.187,0,0.35,0.0,0.994,1
49,3,27.65,-57.25,21.23,34.49,0,0,0,none,253,253.33,1.703,0,0.52,0.0,0.888,1
42,3,13.99,-80.55,42.67,39.92,1,0,1,link_loss,104,28.31,1.383,0,0.51,468.24,0.833,0
19,4,89.4,-53.03,20.33,67.22,0,0,1,battery_low,71,261.61,0.104,1,0.85,68.25,0.974,0
4,1,51.06,-74.17,14.84,49.33,1,0,0,none,206,229.96,0.884,1,0.68,0.0,0.978,1
14,2,22.5,-91.9,16.17,32.03,0,0,0,none,450,169.51,0.37,0,0.48,0.0,0.859,0
45,2,91.91,-43.44,18.64,52.66,1,0,0,none,170,140.38,1.379,0,0.38,0.0,0.958,1
34,3,50.51,-59.45,40.37,26.92,1,0,0,none,181,217.56,1.408,0,0.25,0.0,0.886,0
1,1,95.2,-76.22,30.69,46.52,0,0,0,none,458,107.14,1.387,1,0.43,0.0,0.844,1
1,4,25.06,-31.96,19.14,88.42,0,0,0,none,493,28.67,0.837,0,0.12,0.0,0.951,1
30,2,91.01,-91.87,48.24,41.98,1,0,0,none,432,44.7,1.253,0,0.13,0.0,0.994,0
5,5,53.01,-62.74,16.73,37.28,1,0,0,none,172,74.49,0.21,0,0.34,0.0,0.993,1
1,4,62.47,-30.02,16.02,77.17,0,0,0,none,401,194.55,1.182,1,0.28,0.0,0.879,0
17,5,58.87,-84.06,48.56,83.66,1,0,1,battery_low,309,241.34,0.337,1,0.35,444.69,0.989,0
19,2,98.29,-66.16,44.54,61.21,0,0,0,none,279,143.54,1.251,1,0.43,0.0,0.945,1
27,2,49.91,-57.85,33.66,76.46,0,1,0,none,492,142.96,1.709,1,0.16,0.0,0.977,1
13,5,93.37,-98.66,29.07,68.14,1,0,0,none,189,200.45,1.658,0,0.76,0.0,0.906,0
35,3,28.06,-30.37,13.59,20.16,0,0,0,none,462,60.0,1.532,1,0.69,0.0,0.953,1
2,1,75.08,-80.38,37.5,21.71,0,0,0,none,236,215.37,0.112,0,0.88,0.0,0.936,0
34,2,31.8,-66.52,15.81,69.71,0,0,1,link_loss,455,101.9,0.389,0,0.12,312.47,0.968,0
30,5,13.03,-84.98,26.64,73.17,0,0,1,sensor_fail,73,250.0,1.154,1,0.57,258.43,0.847,0
15,4,22.86,-45.73,20.86,54.77,0,0,0,none,138,96.03,0.865,0,0.27,0.0,0.957,1
22,1,15.64,-41.25,10.15,37.28,1,0,0,none,128,56.38,1.173,1,0.61,0.0,0.981,1
19,1,43.96,-34.46,37.01,28.12,0,0,1,battery_low,183,209.24,0.364,0,0.89,132.26,0.856,0
4,1,36.82,-92.62,41.27,65.09,0,0,1,battery_low,418,148.16,0.497,0,0.43,73.56,0.954,0
13,4,86.53,-85.16,36.29,53.06,1,0,0,none,236,30.06,0.85,1,0.21,0.0,0.947,1
44,5,71.4,-67.23,33.17,25.97,0,0,0,none,117,164.44,0.608,1,0.11,0.0,0.876,1
22,1,21.19,-71.05,29.71,48.3,0,0,0,none,234,265.74,0.179,0,0.79,0.0,0.891,1
17,4,97.84,-91.21,10.68,73.91,1,0,0,none,287,102.13,1.569,1,0.41,0.0,0.874,0
43,5,68.18,-31.81,43.88,21.65,1,0,0,none,108,131.44,0.676,0,0.31,0.0,0.849,1
15,4,52.64,-95.95,48.31,85.99,1,1,0,none,206,177.16,1.576,0,0.75,0.0,0.924,1
25,2,38.36,-80.66,49.27,56.91,1,0,0,none,384,116.65,1.843,0,0.52,0.0,0.978,1
50,2,23.26,-99.45,35.24,51.34,0,1,0,none,78,119.19,1.903,1,0.66,0.0,0.986,0
14,2,26.23,-67.9,32.43,80.48,0,1,0,none,272,294.73,1.607,1,0.32,0.0,0.992,0
35,4,99.53,-50.18,49.25,59.87,0,0,0,none,374,79.91,0.125,0,0.85,0.0,0.946,1
17,3,45.57,-33.3,48.68,47.5,1,0,0,none,157,199.37,1.367,0,0.61,0.0,0.954,1
9,5,10.81,-75.01,47.05,36.01,0,0,0,none,385,164.11,1.636,0,0.32,0.0,0.881,1
45,2,91.12,-89.23,49.6,86.84,0,0,0,none,386,129.89,1.533,1,0.96,0.0,0.915,0
18,5,32.59,-60.51,24.34,65.96,0,0,1,link_loss,329,255.15,1.528,0,0.96,116.68,0.936,0
4,5,74.72,-60.57,27.1,42.84,1,0,0,none,390,256.84,0.862,1,0.84,0.0,0.978,1
45,5,32.98,-79.3,33.75,22.3,0,0,0,none,484,148.8,0.281,1,0.14,0.0,0.945,1
24,2,84.23,-63.9,28.53,23.18,0,1,0,none,244,234.35,0.1,0,0.57,0.0,0.811,1
7,5,37.35,-83.87,10.06,71.05,1,0,0,none,302,136.46,1.542,1,0.91,0.0,0.964,1
14,1,43.38,-36.86,42.27,88.94,1,0,0,none,304,126.59,0.887,1,0.12,0.0,0.854,1
17,3,66.56,-66.27,24.47,86.44,0,0,0,none,304,163.88,1.067,0,0.94,0.0,0.966,1
32,3,82.32,-91.46,15.01,79.53,0,0,0,none,136,116.7,0.738,1,0.87,0.0,0.94,0
47,5,95.24,-65.26,25.22,31.41,1,0,0,none,402,239.01,0.336,1,0.65,0.0,0.969,0
24,3,55.1,-50.57,31.37,57.85,0,0,0,none,76,289.22,1.457,1,0.3,0.0,0.976,1
31,4,66.25,-77.84,42.66,55.11,0,0,1,sensor_fail,335,294.93,1.293,0,0.25,134.11,0.804,0
5,3,47.05,-34.55,27.22,81.46,0,0,0,none,113,141.17,1.402,0,0.15,0.0,0.875,1
13,4,70.43,-55.74,17.96,49.28,1,0,0,none,401,283.56,1.838,0,0.51,0.0,0.995,0
5,4,46.32,-48.35,38.18,49.59,0,0,0,none,329,164.7,1.506,1,0.59,0.0,0.938,0
39,3,16.8,-33.4,21.89,26.44,0,0,0,none,477,199.66,1.437,0,0.61,0.0,0.89,0
6,1,57.32,-82.53,10.08,32.19,0,0,0,none,378,226.23,1.778,0,0.63,0.0,0.94,1
28,1,11.39,-59.2,20.12,51.52,1,0,0,none,169,227.03,0.508,1,0.55,0.0,0.949,0
21,1,49.06,-81.89,27.38,70.64,0,0,0,none,440,207.79,1.432,0,0.69,0.0,0.964,0
47,1,29.3,-81.04,19.9,24.38,0,0,0,none,394,186.54,0.807,0,0.9,0.0,0.877,1
13,3,65.51,-48.0,39.52,56.5,0,0,1,sensor_fail,170,170.73,0.611,0,0.91,349.91,0.957,0
43,3,73.49,-70.07,27.7,65.45,1,0,0,none,213,239.83,1.238,0,0.63,0.0,0.882,1
24,4,28.9,-80.33,38.52,20.8,0,1,0,none,476,39.74,0.453,1,0.89,0.0,0.963,1
35,4,36.03,-78.31,20.0,56.05,0,0,0,none,115,264.34,1.673,0,0.83,0.0,0.957,1
49,2,34.43,-83.78,22.74,83.25,0,1,0,none,488,260.47,1.386,1,0.87,0.0,0.95,1
22,1,24.43,-52.84,17.17,68.58,0,0,0,none,167,261.63,1.111,1,0.37,0.0,0.908,1
43,2,89.35,-91.5,35.39,60.75,0,0,0,none,230,36.17,0.843,0,0.3,0.0,0.992,0
9,1,48.6,-62.14,37.86,69.15,0,0,0,none,309,181.11,0.142,1,0.73,0.0,0.899,1
39,2,56.11,-92.0,40.59,67.52,1,1,0,none,125,241.97,0.231,0,0.6,0.0,0.926,0
16,1,75.82,-51.19,40.11,52.55,1,0,0,none,181,241.64,0.957,0,0.87,0.0,0.977,1
46,1,82.32,-36.88,18.14,24.69,1,0,0,none,355,257.42,1.137,1,0.51,0.0,0.903,1
20,5,60.32,-77.52,18.8,44.54,0,0,0,none,123,222.37,1.348,1,0.11,0.0,0.844,1
49,1,10.48,-43.69,40.91,58.39,0,0,0,none,420,165.9,0.765,1,0.78,0.0,0.803,0
44,5,44.8,-53.63,23.88,47.35,0,0,0,none,340,203.16,1.789,1,0.67,0.0,0.831,1
13,3,34.38,-85.84,22.55,36.91,0,0,1,link_loss,270,176.22,1.211,0,0.5,252.85,0.992,0
38,1,33.77,-34.27,35.45,42.72,0,0,0,none,332,203.32,1.665,0,0.8,0.0,0.964,1
6,4,79.63,-47.65,16.02,35.21,0,0,0,none,159,88.15,1.159,0,0.7,0.0,0.865,1
40,5,49.28,-53.33,13.77,72.36,1,0,1,link_loss,339,272.87,1.874,1,0.71,52.57,0.893,0
16,5,38.63,-32.72,45.67,79.44,0,0,0,none,354,24.41,0.133,1,0.74,0.0,0.862,0
43,2,60.71,-56.28,44.58,61.09,0,1,0,none,234,209.32,0.363,1,0.61,0.0,0.974,1
34,4,57.49,-85.19,49.83,88.68,0,1,0,none,472,161.12,1.903,1,0.43,0.0,0.973,0
11,5,66.85,-96.19,35.77,88.2,0,0,0,none,390,187.8,0.441,1,0.51,0.0,0.934,1
14,2,11.72,-45.46,34.39,68.97,1,1,1,link_loss,219,156.78,0.864,0,0.62,174.66,0.984,0
8,4,41.94,-96.36,11.27,49.63,0,0,1,sensor_fail,381,187.1,1.053,1,0.72,218.95,0.96,1
9,3,28.05,-84.86,37.65,62.21,0,1,0,none,429,113.88,0.227,1,0.84,0.0,0.971,1
19,3,81.05,-70.86,16.72,53.25,0,1,0,none,334,61.24,1.949,1,0.97,0.0,0.888,1
40,3,39.36,-79.04,19.3,29.08,0,0,0,none,99,78.94,1.637,0,0.41,0.0,0.973,0
23,2,84.64,-50.53,34.69,30.92,0,0,0,none,471,194.72,0.62,0,0.17,0.0,0.892,1
42,5,47.67,-67.91,39.0,60.2,0,0,1,link_loss,382,55.38,1.169,1,0.95,57.12,0.905,0
9,4,53.49,-41.32,24.46,80.19,0,0,0,none,408,163.88,1.816,1,0.84,0.0,0.902,1
26,4,97.32,-34.74,39.66,39.56,0,1,0,none,475,157.41,0.872,1,0.64,0.0,0.915,1
6,3,94.5,-37.42,23.5,71.06,0,0,1,link_loss,488,90.74,1.088,1,0.63,388.25,0.925,0
49,4,43.89,-83.76,20.61,58.8,0,0,0,none,282,31.22,0.654,0,0.31,0.0,0.982,1
49,4,78.45,-89.19,29.49,50.1,0,1,0,none,284,218.27,1.004,1,0.79,0.0,0.809,0
19,4,70.3,-67.22,40.94,28.64,0,0,1,battery_low,245,298.99,1.612,1,0.29,201.2,0.893,0
8,3,25.61,-73.42,42.06,47.45,1,0,0,none,479,175.81,1.727,1,0.93,0.0,0.873,1
45,3,57.23,-45.73,19.38,44.16,0,1,0,none,402,198.39,1.235,1,0.27,0.0,0.859,1
37,3,55.57,-75.47,46.52,43.78,0,0,0,none,291,194.35,1.981,0,0.41,0.0,0.816,1
1,2,40.9,-41.58,47.42,33.0,0,1,0,none,200,87.2,1.449,0,0.41,0.0,0.89,1
3,2,10.45,-95.79,46.19,65.33,0,0,0,none,258,231.97,0.206,0,0.29,0.0,0.933,0
34,2,90.6,-36.36,22.56,68.37,0,0,0,none,441,189.06,1.74,1,0.26,0.0,0.897,0
